id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to
1238036688968069125,1238036688968069125,1584005922000,2020-03-12,05:38:42,EDT,2228010763,szeeshanppp,SyedZeeshanPPP,,حکومت کو چاہیے کہ وہ ماسک ہینڈ گلف اور سینیٹازر بنانے والی کمپنیوں ایمرجنسی بنیادوں کام کرنے کا حکم دیے اور انہیں ٹیکس فری کردے اور جگہوں کی صفائی کو یقینی بنا جہاں جہاں کورونا وائرس کے مریض گزرے یا ہاتھ لگایا #CaronaVirusInPakistan #COVIDInPakistan #Pakistan #PTIGovSleeping,[],[],[],0,0,0,"['#caronavirusinpakistan', '#covidinpakistan', '#pakistan', '#ptigovsleeping']",[],https://twitter.com/SZeeshanPPP/status/1238036688968069125,False,,0,,,,,,,"[{'user_id': '2228010763', 'username': 'SZeeshanPPP'}]"
1259062681149026304,1259062681149026304,1589018910000,2020-05-09,06:08:30,EDT,991262527,ayeshakakakheil,Ayesha,,I was tested POSITIVE for #Covid_19  today. I have mild to moderate symptoms and isolated myself at home. Keep me in your prayers.  #StayHome #lockdownpakistan #covid19inpakistan,[],[],[],10,0,5,"['#covid_19', '#stayhome', '#lockdownpakistan', '#covid19inpakistan']",[],https://twitter.com/Ayeshakakakheil/status/1259062681149026304,False,,0,,,,,,,"[{'user_id': '991262527', 'username': 'Ayeshakakakheil'}]"
1258489649330376705,1258489649330376705,1588882288000,2020-05-07,16:11:28,EDT,1009100776143314944,usmanmirza26,Usmaن Mirزa 👑,,"The federal government has announced to end the lock down, but people have to be very careful and avoid the spread of corona.  #COVIDisNotFlu #COVID19 #covid19inpakistan #LockdownEnd pic.twitter.com/OsJF987Evo",[],[],['https://pbs.twimg.com/media/EXcNbAiXYAE7_A-.jpg'],0,0,2,"['#covidisnotflu', '#covid19', '#covid19inpakistan', '#lockdownend']",[],https://twitter.com/UsmanMirza26/status/1258489649330376705,False,,0,,,,,,,"[{'user_id': '1009100776143314944', 'username': 'UsmanMirza26'}]"
1258476522618437632,1258476522618437632,1588879159000,2020-05-07,15:19:19,EDT,2833837928,aryvideos,ARY Videos,,نبیل گبول کا میڈیا پر الزام، ولید اقبال کا کرارا جواب. لاک ڈاؤن میں نرمی کے حوالے سے اہم گفتگو #PMImranKhan #COVID19InPakistan #EleventhHour https://videos.arynews.tv/pti-leader-waleed-iqbal-explains-the-ease-policy-in-lock-down/ …,[],['https://videos.arynews.tv/pti-leader-waleed-iqbal-explains-the-ease-policy-in-lock-down/'],[],0,0,0,"['#pmimrankhan', '#covid19inpakistan', '#eleventhhour']",[],https://twitter.com/ARYVideos/status/1258476522618437632,False,,0,,,,,,,"[{'user_id': '2833837928', 'username': 'ARYVideos'}]"
1258467900869902336,1258467900869902336,1588877103000,2020-05-07,14:45:03,EDT,2833837928,aryvideos,ARY Videos,,لاک ڈاؤن میں نرمی کا فیصلہ تاہم کیسز کی تعداد میں بدستور اضافہ، تازہ صورتحال کیا؟ #PMImranKhan #COVID19InPakistan #EleventhHour https://videos.arynews.tv/covid-19-what-is-the-latest-situation-in-pakistan-so-far/ …,[],['https://videos.arynews.tv/covid-19-what-is-the-latest-situation-in-pakistan-so-far/'],[],0,0,2,"['#pmimrankhan', '#covid19inpakistan', '#eleventhhour']",[],https://twitter.com/ARYVideos/status/1258467900869902336,False,,0,,,,,,,"[{'user_id': '2833837928', 'username': 'ARYVideos'}]"
1258445866530193408,1258445866530193408,1588871850000,2020-05-07,13:17:30,EDT,543009407,sbi121,Noman Siddiqui,,کیسز بڑھ رہے ہیں اور ہم لاک ڈاؤن کھولنے کی طرف جا رہے ہیں۔اس دیس کا باوا آدم ہی نرالا ہے😐 #Covid19inPakistan #LockdownEnd,[],[],[],0,0,1,"['#covid19inpakistan', '#lockdownend']",[],https://twitter.com/sbi121/status/1258445866530193408,False,,0,,,,,,,"[{'user_id': '543009407', 'username': 'sbi121'}]"
1258438804999938055,1258438804999938055,1588870166000,2020-05-07,12:49:26,EDT,2833837928,aryvideos,ARY Videos,,لاک ڈاؤن میں نرمی کے بعد ایس او پیز کی پابندی نہ کرنے والوں کے ساتھ کیا ہوگا؟ #PMImranKhan #COVID19InPakistan #offtherecord https://videos.arynews.tv/what-sops-should-you-follow-after-the-ease-in-lock-down/ …,[],['https://videos.arynews.tv/what-sops-should-you-follow-after-the-ease-in-lock-down/'],[],0,0,3,"['#pmimrankhan', '#covid19inpakistan', '#offtherecord']",[],https://twitter.com/ARYVideos/status/1258438804999938055,False,,0,,,,,,,"[{'user_id': '2833837928', 'username': 'ARYVideos'}]"
1258431161187082244,1258431161187082244,1588868344000,2020-05-07,12:19:04,EDT,2833837928,aryvideos,ARY Videos,,کیا کوئٹہ میں 80فیصد لوگ کورونا وائرس میں مبتلا ہوچکے ہیں؟ ہوش ربا انکشاف #PMImranKhan #COVID19InPakistan #OffTheRecord https://videos.arynews.tv/positive-cases-for-covid-19-increasing-in-quetta/ …,[],['https://videos.arynews.tv/positive-cases-for-covid-19-increasing-in-quetta/'],[],1,0,4,"['#pmimrankhan', '#covid19inpakistan', '#offtherecord']",[],https://twitter.com/ARYVideos/status/1258431161187082244,False,,0,,,,,,,"[{'user_id': '2833837928', 'username': 'ARYVideos'}]"
1258427289223802881,1258427289223802881,1588867420000,2020-05-07,12:03:40,EDT,2833837928,aryvideos,ARY Videos,,وزیر اعظم نے غریب عوام کو ترجیح دی؟ لاک ڈاؤن میں نرمی کی وجہ کیا؟ علی زیدی کی گفتگو #PMImranKhan #COVID19InPakistan #OffTheRecord https://videos.arynews.tv/pm-imran-khan-decides-to-ease-lock-down-in-pakistan/ …,[],['https://videos.arynews.tv/pm-imran-khan-decides-to-ease-lock-down-in-pakistan/'],[],0,0,3,"['#pmimrankhan', '#covid19inpakistan', '#offtherecord']",[],https://twitter.com/ARYVideos/status/1258427289223802881,False,,0,,,,,,,"[{'user_id': '2833837928', 'username': 'ARYVideos'}]"
1258346224362622977,1258346224362622977,1588848093000,2020-05-07,06:41:33,EDT,755621846,sidra18650,`~Sidra~`,,Kindly someone tell this to our moms. I have been forced to drink hot water since April 1st. :D  #covid19inpakistan  https://twitter.com/AKUGlobal/status/1257530187320868865 …,[],['https://twitter.com/AKUGlobal/status/1257530187320868865'],[],0,0,1,['#covid19inpakistan'],[],https://twitter.com/sidra18650/status/1258346224362622977,False,https://twitter.com/AKUGlobal/status/1257530187320868865,0,,,,,,,"[{'user_id': '755621846', 'username': 'sidra18650'}]"
